torque,error,status,nano,time
42.95,0.0,0.0,336538108.5,2022-12-17 00:00:00
44.95,0.0,0.0,335923835.5,2022-12-17 00:00:01
43.25,0.0,0.0,336120269.5,2022-12-17 00:00:02
44.4,0.0,0.0,336737931.5,2022-12-17 00:00:03
44.15,0.0,0.0,335679599.5,2022-12-17 00:00:04
42.5,0.0,0.0,335654690.5,2022-12-17 00:00:05
44.7,0.0,0.0,335697778.5,2022-12-17 00:00:06
42.2,0.0,0.0,335550670.5,2022-12-17 00:00:07
43.6,0.0,0.0,585574105.0,2022-12-17 00:00:08
44.65,0.0,0.0,335684642.0,2022-12-17 00:00:09
41.25,0.0,0.0,335786010.5,2022-12-17 00:00:10
45.05,0.0,0.0,335886190.5,2022-12-17 00:00:11
42.45,0.0,0.0,335889544.0,2022-12-17 00:00:12
42.95,0.0,0.0,335961491.5,2022-12-17 00:00:13
45.0,0.0,0.0,337032210.0,2022-12-17 00:00:14
41.15,0.0,0.0,336163292.5,2022-12-17 00:00:15
44.5,0.0,0.0,337267493.0,2022-12-17 00:00:16
42.1,0.0,0.0,335799563.5,2022-12-17 00:00:17
42.9,0.0,0.0,335662886.0,2022-12-17 00:00:18
43.85,0.0,0.0,335705933.5,2022-12-17 00:00:19
41.4,0.0,0.0,335726088.0,2022-12-17 00:00:20
43.900000000000006,0.0,0.0,335603953.0,2022-12-17 00:00:21
42.4,0.0,0.0,335754321.5,2022-12-17 00:00:22
43.2,0.0,0.0,585789076.0,2022-12-17 00:00:23
44.1,0.0,0.0,335915813.5,2022-12-17 00:00:24
43.2,0.0,0.0,335932002.0,2022-12-17 00:00:25
44.05,0.0,0.0,336013515.0,2022-12-17 00:00:26
44.85,0.0,0.0,336101992.0,2022-12-17 00:00:27
42.35,0.0,0.0,336730704.0,2022-12-17 00:00:28
43.35,0.0,0.0,336223663.0,2022-12-17 00:00:29
42.6,0.0,0.0,335935175.5,2022-12-17 00:00:30
41.45,0.0,0.0,335871581.0,2022-12-17 00:00:31
45.05,0.0,0.0,335772146.5,2022-12-17 00:00:32
41.45,0.0,0.0,335747975.0,2022-12-17 00:00:33
43.75,0.0,0.0,335831150.0,2022-12-17 00:00:34
43.650000000000006,0.0,0.0,335752767.5,2022-12-17 00:00:35
41.55,0.0,0.0,335853497.0,2022-12-17 00:00:36
43.95,0.0,0.0,335844859.5,2022-12-17 00:00:37
41.75,0.0,0.0,335989608.5,2022-12-17 00:00:38
44.2,0.0,0.0,335983948.5,2022-12-17 00:00:39
42.650000000000006,0.0,0.0,336153963.0,2022-12-17 00:00:40
42.3,0.0,0.0,336254972.0,2022-12-17 00:00:41
43.6,0.0,0.0,336827607.0,2022-12-17 00:00:42
41.75,0.0,0.0,336389336.5,2022-12-17 00:00:43
43.45,0.0,0.0,336321186.5,2022-12-17 00:00:44
43.35,0.0,0.0,335853387.0,2022-12-17 00:00:45
43.3,0.0,0.0,335846062.5,2022-12-17 00:00:46
44.5,0.0,0.0,335910463.5,2022-12-17 00:00:47
43.25,0.0,0.0,335897590.5,2022-12-17 00:00:48
43.6,0.0,0.0,335958693.0,2022-12-17 00:00:49
43.95,0.0,0.0,335940683.0,2022-12-17 00:00:50
42.05,0.0,0.0,336016792.0,2022-12-17 00:00:51
43.1,0.0,0.0,336066128.5,2022-12-17 00:00:52
42.95,0.0,0.0,336687160.0,2022-12-17 00:00:53
41.85,0.0,0.0,336255185.0,2022-12-17 00:00:54
43.55,0.0,0.0,336824225.0,2022-12-17 00:00:55
41.4,0.0,0.0,336932511.5,2022-12-17 00:00:56
44.2,0.0,0.0,336515648.0,2022-12-17 00:00:57
43.45,0.0,0.0,336113024.0,2022-12-17 00:00:58
42.8,0.0,0.0,335941151.0,2022-12-17 00:00:59
45.35,0.0,0.0,335919780.5,2022-12-17 00:01:00
42.4,0.0,0.0,336099865.0,2022-12-17 00:01:01
44.1,0.0,0.0,335975117.0,2022-12-17 00:01:02
43.0,0.0,0.0,336021968.0,2022-12-17 00:01:03
42.75,0.0,0.0,336065716.0,2022-12-17 00:01:04
44.0,0.0,0.0,336318126.5,2022-12-17 00:01:05
42.9,0.0,0.0,336236798.0,2022-12-17 00:01:06
43.35,0.0,0.0,336344570.0,2022-12-17 00:01:07
43.0,0.0,0.0,336392198.5,2022-12-17 00:01:08
41.75,0.0,0.0,336314258.5,2022-12-17 00:01:09
44.150000000000006,0.0,0.0,337066529.5,2022-12-17 00:01:10
42.9,0.0,0.0,336958428.0,2022-12-17 00:01:11
42.3,0.0,0.0,336206114.5,2022-12-17 00:01:12
43.95,0.0,0.0,336098213.5,2022-12-17 00:01:13
41.5,0.0,0.0,336131493.0,2022-12-17 00:01:14
43.7,0.0,0.0,336159762.0,2022-12-17 00:01:15
43.25,0.0,0.0,336313796.5,2022-12-17 00:01:16
41.9,0.0,0.0,336278081.0,2022-12-17 00:01:17
44.2,0.0,0.0,336286130.0,2022-12-17 00:01:18
41.65,0.0,0.0,336390105.0,2022-12-17 00:01:19
43.3,0.0,0.0,336525737.5,2022-12-17 00:01:20
43.1,0.0,0.0,336439132.0,2022-12-17 00:01:21
41.7,0.0,0.0,336546745.5,2022-12-17 00:01:22
44.35,0.0,0.0,336539114.5,2022-12-17 00:01:23
41.45,0.0,0.0,337770798.0,2022-12-17 00:01:24
42.35,0.0,0.0,337442011.0,2022-12-17 00:01:25
43.45,0.0,0.0,336117489.5,2022-12-17 00:01:26
41.5,0.0,0.0,86394336.0,2022-12-17 00:01:27
44.5,0.0,0.0,336464267.5,2022-12-17 00:01:28
42.25,0.0,0.0,336366965.5,2022-12-17 00:01:29
42.900000000000006,0.0,0.0,336336200.5,2022-12-17 00:01:30
43.75,0.0,0.0,336335572.0,2022-12-17 00:01:31
41.95,0.0,0.0,336206156.0,2022-12-17 00:01:32
44.25,0.0,0.0,336498694.5,2022-12-17 00:01:33
42.25,0.0,0.0,336496292.0,2022-12-17 00:01:34
42.85,0.0,0.0,336503830.0,2022-12-17 00:01:35
43.65,0.0,0.0,336624563.0,2022-12-17 00:01:36
42.3,0.0,0.0,336680507.5,2022-12-17 00:01:37
